,preprocessed_name,NAME,CITY_x,STATE
1801,waynecountycommunitycollegedistrict,WAYNE COUNTY COMMUNITY COLLEGE DISTRICT,Detroit,MI
1800,westshorecommunitycollege,WEST SHORE COMMUNITY COLLEGE,Scottville,MI
1252,alexandriatechnicalcommunitycollege,ALEXANDRIA TECHNICAL &amp; COMMUNITY COLLEGE,Alexandria,MN
1254,anokaramseycommunitycollege,ANOKA-RAMSEY COMMUNITY COLLEGE,Coon Rapids,MN
1307,anokaramseycommunitycollegecambridge,ANOKA-RAMSEY COMMUNITY COLLEGE - CAMBRIDGE,,MN
1253,anokatechnicalcollege,ANOKA TECHNICAL COLLEGE,Anoka,MN
1258,bemidjistateuniversity,BEMIDJI STATE UNIVERSITY,Bemidji,MN
1301,capellauniversity,CAPELLA UNIVERSITY,Minneapolis,MN
1251,centrallakescollegebrainerd,CENTRAL LAKES COLLEGE-BRAINERD,Brainerd,MN
1306,centrallakescollegebrainerdstaplescampus,CENTRAL LAKES COLLEGE-BRAINERD - STAPLES CAMPUS,,MN
1299,centurycollege,CENTURY COLLEGE,White Bear Lake,MN
1293,collegesaintscholastica,THE COLLEGE OF SAINT SCHOLASTICA,,MN
1292,crowncollege,CROWN COLLEGE,Saint Bonifacius,MN
1264,dakotacountytechnicalcollege,DAKOTA COUNTY TECHNICAL COLLEGE,Rosemount,MN
1300,fonddulactribalcommunitycollege,FOND DU LAC TRIBAL AND COMMUNITY COLLEGE,Cloquet,MN
1269,hennepintechnicalcollege,HENNEPIN TECHNICAL COLLEGE,Brooklyn Park,MN
1270,hibbingcommunitycollege,HIBBING COMMUNITY COLLEGE,Hibbing,MN
1271,inverhillscommunitycollege,INVER HILLS COMMUNITY COLLEGE,Inver Grove Heights,MN
1272,itascacommunitycollege,ITASCA COMMUNITY COLLEGE,Grand Rapids,MN
1265,lakesuperiorcollege,LAKE SUPERIOR COLLEGE,Duluth,MN
1275,mesabirangecollege,MESABI RANGE COLLEGE,Virginia,MN
1313,mesabirangecommunitytechnicalcollegeevelethcampus,MESABI RANGE COMMUNITY AND TECHNICAL COLLEGE - EVELETH CAMPUS,,MN
1242,metropolitanstateuniversity,METROPOLITAN STATE UNIVERSITY,Saint Paul,MN
1297,minnesotastatecollegesoutheast,MINNESOTA STATE COLLEGE SOUTHEAST,Winona,MN
1266,minnesotastatecommunitytechnicalcollege,MINNESOTA STATE COMMUNITY AND TECHNICAL COLLEGE,Fergus Falls,MN
