,preprocessed_name,INSTNM,CITY_y,STABBR
3185,paulmitchellschoolindianapolis,Paul Mitchell the School-Indianapolis,Indianapolis,IN
3277,paulmitchellschoolmerrillville,Paul Mitchell the School-Merrillville,Merrillville,IN
2414,purdueuniversityfortwayne,Purdue University Fort Wayne,Fort Wayne,IN
3330,purdueuniversityglobal,Purdue University Global,West Lafayette,IN
2887,purdueuniversitymaincampus,Purdue University-Main Campus,West Lafayette,IN
2423,ravenscroftbeautycollege,Ravenscroft Beauty College,Fort Wayne,IN
3160,salonprofessionalacademyevansville,The Salon Professional Academy-Evansville,Evansville,IN
3187,summitsalonacademykokomo,Summit Salon Academy-Kokomo,Kokomo,IN
2424,universitysaintfrancisfortwayne,University of Saint Francis-Fort Wayne,Fort Wayne,IN
2439,bartoncountycommunitycollege,Barton County Community College,Great Bend,KS
3229,bellusacademy,Bellus Academy,Manhattan,KS
2440,bethelcollegenorthnewton,Bethel College-North Newton,North Newton,KS
2441,flinthillstechnicalcollege,Flint Hills Technical College,Emporia,KS
2442,manhattanareatechnicalcollege,Manhattan Area Technical College,Manhattan,KS
3222,mitsusatohairacademy,Mitsu Sato Hair Academy,Overland Park,KS
2443,northwestkansastechnicalcollege,Northwest Kansas Technical College,Goodland,KS
2445,ottawauniversitykansascity,Ottawa University-Kansas City,Overland Park,KS
3110,ottawauniversityonline,Ottawa University-Online,Ottawa,KS
2444,ottawauniversityottawa,Ottawa University-Ottawa,Ottawa,KS
3224,paulmitchellschooloverlandpark,Paul Mitchell the School-Overland Park,Overland Park,KS
2966,paulmitchellschoolwichita,Paul Mitchell the School-Wichita,Wichita,KS
3235,rasmussenuniversitykansas,Rasmussen University-Kansas,Topeka,KS
2432,southwesterncollege,Southwestern College,Winfield,KS
3197,wellspringschoolalliedhealthlawrence,WellSpring School of Allied Health-Lawrence,Lawrence,KS
3371,wellspringschoolalliedhealthwichita,WellSpring School of Allied Health-Wichita,Wichita,KS
2447,elizabethtowncommunitytechnicalcollege,Elizabethtown Community and Technical College,Elizabethtown,KY
2454,empirebeautyschoolchenoweth,Empire Beauty School-Chenoweth,Louisville,KY
2456,empirebeautyschooldixie,Empire Beauty School-Dixie,Louisville,KY
2455,empirebeautyschoolelizabethtown,Empire Beauty School-Elizabethtown,Elizabethtown,KY
2457,empirebeautyschoolflorence,Empire Beauty School-Florence,Florence,KY
2448,frontiernursinguniversity,Frontier Nursing University,Versailles,KY
2449,hazardcommunitytechnicalcollege,Hazard Community and Technical College,Hazard,KY
2451,kentuckymountainbiblecollege,Kentucky Mountain Bible College,Jackson,KY
2452,lexingtontheologicalseminary,Lexington Theological Seminary,Lexington,KY
2453,maysvillecommunitytechnicalcollege,Maysville Community and Technical College,Maysville,KY
2446,paulmitchellschoollexington,Paul Mitchell the School-Lexington,Lexington,KY
2450,paulmitchellschoollouisville,Paul Mitchell the School-Louisville,Louisville,KY
3180,simmonscollegekentucky,Simmons College of Kentucky,Louisville,KY
2458,southeastkentuckycommunity,Southeast Kentucky Community,Cumberland,KY
2459,thomasmoreuniversity,Thomas More University,Crestview Hills,KY
3358,chamberlainuniversitylouisiana,Chamberlain University-Louisiana,Jefferson,LA
2461,louisianastateuniversityagriculturalmechanicalcollege,Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA
2460,louisianastateuniversityhealthsciencescenterneworleans,Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA
3021,louisianastateuniversityhealthsciencescentershreveport,Louisiana State University Health Sciences Center-Shreveport,Shreveport,LA
2464,northshoretechnicalcommunitycollege,Northshore Technical Community College,Lacombe,LA
2462,northwesternstateuniversitylouisiana,Northwestern State University of Louisiana,Natchitoches,LA
3029,omegainstitutecosmetology,Omega Institute of Cosmetology,Houma,LA
3278,parkplacepremierbarberschool,Park Place Premier Barber School,New Orleans,LA
3032,remingtoncollegebatonrougecampus,Remington College-Baton Rouge Campus,Baton Rouge,LA
2463,remingtoncollegelafayettecampus,Remington College-Lafayette Campus,Lafayette,LA
3104,remingtoncollegeshreveportcampus,Remington College-Shreveport Campus,Shreveport,LA
3130,vanguardcollegecosmetologybatonrouge,Vanguard College of Cosmetology-Baton Rouge,Baton Rouge,LA
3196,vanguardcollegecosmetologymetairie,Vanguard College of Cosmetology-Metairie,Metairie,LA
3219,alexanderacademy,Alexander Academy,Lunenburg,MA
2475,bancroftschoolmassagetherapy,Bancroft School of Massage Therapy,Worcester,MA
2477,bostongraduateschoolpsychoanalysisinc,Boston Graduate School of Psychoanalysis Inc,Brookline,MA
2480,emmanuelcollege,Emmanuel College,Boston,MA
2476,empirebeautyschoolboston,Empire Beauty School-Boston,Boston,MA
2958,empirebeautyschoolmalden,Empire Beauty School-Malden,Malden,MA
2481,gordonconwelltheologicalseminary,Gordon-Conwell Theological Seminary,South Hamilton,MA
2482,laselluniversity,Lasell University,Newton,MA
2479,lincolntechnicalinstitutesomerville,Lincoln Technical Institute-Somerville,Somerville,MA
2483,massachusettscollegeartdesign,Massachusetts College of Art and Design,Boston,MA
2473,massachusettscollegeliberalarts,Massachusetts College of Liberal Arts,North Adams,MA
2472,montserratcollegeart,Montserrat College of Art,Beverly,MA
3264,northeasternuniversitylifelonglearningnetwork,Northeastern University Lifelong Learning Network,Boston,MA
2971,shawsheenvalleyschoolpracticalnursing,Shawsheen Valley School of Practical Nursing,Billerica,MA
2478,signaturehealthcarebrocktonhospitalschoolnursing,Signature Healthcare Brockton Hospital School of Nursing,Brockton,MA
2484,universitymassachusettsdartmouth,University of Massachusetts-Dartmouth,North Dartmouth,MA
2468,avedainstitutemaryland,Aveda Institute-Maryland,Bel Air,MD
3233,empirebeautyschoolglenburnie,Empire Beauty School-Glen Burnie,Glen Burnie,MD
3051,empirebeautyschoolowingsmills,Empire Beauty School-Owings Mills,Owings Mills,MD
3172,holisticmassagetraininginstitute,Holistic Massage Training Institute,Baltimore,MD
2469,lincolncollegetechnologycolumbia,Lincoln College of Technology-Columbia,Columbia,MD
2471,marylandinstitutecollegeart,Maryland Institute College of Art,Baltimore,MD
2474,marylanduniversityintegrativehealth,Maryland University of Integrative Health,Laurel,MD
3313,templeannapolisapaulmitchellpartnerschool,The Temple Annapolis-A Paul Mitchell Partner School,Annapolis,MD
3125,templeapaulmitchellpartnerschool,The Temple-A Paul Mitchell Partner School,Frederick,MD
2470,universitymarylandglobalcampus,University of Maryland Global Campus,Adelphi,MD
3179,capiloschoolhairdesign,Capilo School of Hair Design,Augusta,ME
2466,empirebeautyschoolmaine,Empire Beauty School-Maine,Portland,ME
2467,mainecollegeart,Maine College of Art,Portland,ME
2465,universitymaine,University of Maine,Orono,ME
3183,abcottinstitute,Abcott Institute,Southfield,MI
2999,cadillacinstitutecosmetology,Cadillac Institute of Cosmetology,Cadillac,MI
3305,chamberlainuniversitymichigan,Chamberlain University-Michigan,Troy,MI
3161,compasscollegecinematicarts,Compass College of Cinematic Arts,Grand Rapids,MI
2487,davidpressleyschoolcosmetology,David Pressley School of Cosmetology,Royal Oak,MI
2488,detroitbusinessinstitutedownriver,Detroit Business Institute-Downriver,Riverview,MI
2895,ecumenicaltheologicalseminary,Ecumenical Theological Seminary,Detroit,MI
2486,empirebeautyschoolmichigan,Empire Beauty School-Michigan,Grand Rapids,MI
